"primaryName","birthYear","deathYear","nconst","nconst_short"
William Beaudine,"1892","1970",nm0064415,nm0064415
Harry Beaumont,"1888","1966",nm0064600,nm0064600
George Beban,"1873","1928",nm0064819,nm0064819
Eugène Bech,\N,\N,nm0064944,nm0064944
Lili Beck,"1885","1939",nm0064949,nm0064949
Philip Bech,"1869","1928",nm0064953,nm0064953
Mrs. William Bechtel,"1861","1938",nm0065035,nm0065035
William Bechtel,"1867","1930",nm0065038,nm0065038
Frederick Beck,\N,\N,nm0065133,nm0065133
Denise Becker,\N,\N,nm0065393,nm0065393
Karl Beckersachs,"1886","1951",nm0065651,nm0065651
Beatrice Beckley,"1884","1969",nm0065773,nm0065773
Robert Livingston Beecher,\N,\N,nm0066332,nm0066332
Mary Beekman,"1884","1957",nm0066406,nm0066406
Ethelin Eliot Beer,\N,\N,nm0066488,nm0066488
Lee Beggs,"1870","1943",nm0066734,nm0066734
Malcolm Lee Beggs,"1907","1956",nm0066735,nm0066735
Ernst Behmer,"1875","1938",nm0066941,nm0066941
David Belasco,"1853","1931",nm0067584,nm0067584
Ruby Belasco,"1867","1936",nm0067590,nm0067590
Digby Bell,"1849","1917",nm0068152,nm0068152
Edward Bell,\N,\N,nm0068179,nm0068179
Emma Bell Clifton,"1874","1922",nm0068186,nm0068186
Gaston Bell,"1877","1963",nm0068213,nm0068213
George Bellamy,"1866","1944",nm0068696,nm0068696
Dorothy Bellew,"1891","1973",nm0068927,nm0068927
Walter C. Bellows,\N,\N,nm0069237,nm0069237
Henry Belmar,"1849","1931",nm0069295,nm0069295
Eleanor Robson Belmont,"1879","1979",nm0069325,nm0069325
Joseph Belmont,"1874","1939",nm0069327,nm0069327
Juan Belmonte,"1892","1962",nm0069354,nm0069354
Lionel Belmore,"1867","1953",nm0069373,nm0069373
Adolphe Belot,"1829","1890",nm0069435,nm0069435
Elisa Beltrán,\N,\N,nm0069640,nm0069640
Jacinto Benavente,"1866","1954",nm0070251,nm0070251
Pete Bender,\N,\N,nm0070503,nm0070503
Claude Benedict,\N,\N,nm0070762,nm0070762
Kingsley Benedict,"1878","1951",nm0070791,nm0070791
Carlo Benetti,"1885","1949",nm0070959,nm0070959
Gustaf Bengtsson,"1878","1951",nm0071086,nm0071086
Dorothy Benham,"1910","1956",nm0071127,nm0071127
Harry Benham,"1884","1969",nm0071132,nm0071132
Leland Benham,"1905","1976",nm0071135,nm0071135
Yale Benner,"1875","1952",nm0071518,nm0071518
Billie Bennett,"1874","1951",nm0071616,nm0071616
Charles Bennett,"1893","1943",nm0071658,nm0071658
Constance Bennett,\N,\N,nm0071684,nm0071684
Emerson Bennett,\N,\N,nm0071745,nm0071745
Frank Bennett,"1890","1957",nm0071758,nm0071758
Juanita Bennett,\N,\N,nm0071852,nm0071852
Richard Bennett,"1870","1944",nm0071992,nm0071992
Alex Benno,"1873","1952",nm0072191,nm0072191
Georges Benoît,"1883","1942",nm0072301,nm0072301
Constance Benson,"1864","1946",nm0072463,nm0072463
Frank R. Benson,"1858","1939",nm0072493,nm0072493
May Bensen,"1854","1916",nm0072582,nm0072582
William Shepherd Benson,"1855","1932",nm0072679,nm0072679
Thomas Bentley,"1884","1966",nm0072872,nm0072872
Clara Beranger,"1886","1956",nm0073238,nm0073238
George Beranger,"1893","1973",nm0073239,nm0073239
Geraldine Berg,\N,\N,nm0073763,nm0073763
Stina Berg,"1869","1930",nm0073906,nm0073906
Thurlow Bergen,"1875","1954",nm0074063,nm0074063
Emil Bergendorff,"1864","1921",nm0074077,nm0074077
Charly Berger,"1881","1945",nm0074139,nm0074139
Grete Berger,"1883","1944",nm0074186,nm0074186
Rae Berger,"1877","1931",nm0074325,nm0074325
Rudolph J. Bergquist,"1885","1928",nm0074991,nm0074991
Idoff Bergqvist,\N,\N,nm0074998,nm0074998
Sven Bergvall,"1881","1960",nm0075153,nm0075153
Ouida Bergère,"1886","1974",nm0075160,nm0075160
Lili Berky,"1886","1958",nm0075410,nm0075410
Dorothy Bernard,"1890","1955",nm0076202,nm0076202
Harry Bernard,"1878","1940",nm0076236,nm0076236
Léon Bernard,"1877","1935",nm0076308,nm0076308
Edvin Berndtson,\N,\N,nm0076642,nm0076642
Bernice Berner,\N,\N,nm0076673,nm0076673
Fritz Bernhardt,\N,\N,nm0076786,nm0076786
Sarah Bernhardt,"1844","1923",nm0076800,nm0076800
Suzanne Berni,\N,\N,nm0076840,nm0076840
Bleuette Bernon,"1878","1937",nm0076933,nm0076933
Jane Bernoudy,"1893","1972",nm0076943,nm0076943
Henri Bernstein,"1876","1953",nm0077056,nm0077056
Elena Bernís,\N,\N,nm0077222,nm0077222
Georges Berr,"1867","1942",nm0077278,nm0077278
George Berrell,"1849","1933",nm0077320,nm0077320
Audrey Berry,"1906","1996",nm0077488,nm0077488
James Berry,"1880","1915",nm0077568,nm0077568
Berryer,\N,\N,nm0077702,nm0077702
Maurice Bertel,"1871","1930",nm0077861,nm0077861
Ingeborg Bruhn Bertelsen,"1894","1977",nm0077946,nm0077946
Francesca Bertini,"1892","1985",nm0078116,nm0078116
Francesco Bertolini,\N,\N,nm0078205,nm0078205
Helen Bertram,"1865","1953",nm0078318,nm0078318
Vedah Bertram,"1891","1912",nm0078338,nm0078338
William Bertram,"1880","1933",nm0078340,nm0078340
Marguerite Bertsch,"1889","1967",nm0078442,nm0078442
Ilona Hegedüsné Berzétey,"1874","1962",nm0078562,nm0078562
J. Campbell Besley,\N,\N,nm0078695,nm0078695
Eugenie Besserer,"1868","1934",nm0078806,nm0078806
Matthew Betz,"1881","1938",nm0079490,nm0079490
William Bewer,"1867","1965",nm0079813,nm0079813
Clara Beyers,\N,"1935",nm0079966,nm0079966
Arsenii Bibikov,"1873","1927",nm0080896,nm0080896
Rudolf Biebrach,"1866","1938",nm0081288,nm0081288
Edward Peil Sr.,"1883","1958",nm0081361,nm0081361
Paul Biensfeldt,"1869","1933",nm0081510,nm0081510
Chief John Big Tree,"1877","1967",nm0081697,nm0081697
Arthur Bigelow,\N,\N,nm0081736,nm0081736
Paul Bildt,"1885","1957",nm0082178,nm0082178
Svend Bille,"1890","1973",nm0082349,nm0082349
Billie Billings,\N,\N,nm0082461,nm0082461
Francelia Billington,"1895","1934",nm0082537,nm0082537
Maurits Binger,"1868","1923",nm0082914,nm0082914
Josh Binney,"1889","1956",nm0083063,nm0083063
Santiago Biosca,\N,\N,nm0083196,nm0083196
Carolyn Birch,\N,\N,nm0083248,nm0083248
Cecil Birch,\N,\N,nm0083249,nm0083249
Viva Birkett,"1887","1934",nm0083596,nm0083596
Alexandre Bisson,"1848","1912",nm0084352,nm0084352
Jacques Bizeul,"1882","1925",nm0084690,nm0084690
Olaf K. Bjerke,"1863","1931",nm0084804,nm0084804
Rasmus Bjerregaard,"1882","1917",nm0084830,nm0084830
Lars Björck,"1884","1926",nm0084902,nm0084902
Agda Helin,"1894","1984",nm0084962,nm0084962
Renée Björling,"1898","1975",nm0085007,nm0085007
Hugo Björne,"1886","1966",nm0085021,nm0085021
Aage Bjørnbak,"1875","1913",nm0085066,nm0085066
Herbert Blaché,"1882","1953",nm0085133,nm0085133
Alexander Black,"1859","1940",nm0085156,nm0085156
Mary Blackburn,\N,\N,nm0085618,nm0085618
Vivian Blackburn,"1876","1952",nm0085652,nm0085652
Nessie Blackford,"1872","1964",nm0085684,nm0085684
Lisbeth Blackstone,\N,\N,nm0085852,nm0085852
J. Stuart Blackton,"1875","1941",nm0085865,nm0085865
Paula Blackton,"1881","1930",nm0085870,nm0085870
Carlyle Blackwell,"1884","1955",nm0085877,nm0085877
